Sample ID	Sample type	median LOH VAF	LOH gene count	Copy neutral gene count	snp_TC	mut_TC
AC-017-Baseline			27.0	26.0	0.0	0.0
AC-017-Progression			28.0		0.0	0.0
AC-017-Progression2			29.0		0.0	0.0
AC-032-Baseline			31.0	30.0	0.0	0.0
AC-032-Progression			34.0	33.0	0.0	0.0
AC-032-Progression2			33.0	32.0	0.0	0.0
AC-054-Progression			34.0		0.0	0.0
AC-054-Progression-UMI			36.0		0.0	0.0
AC-063-Baseline			34.0	33.0	0.0	0.0
AC-076-Progression			32.0		0.0	0.0
AC-080-Progression			32.0		0.0	0.0
AC-097-Baseline			27.0		0.0	0.0
AC-097-Progression			27.0		0.0	0.0
AC-105-Baseline			33.0	32.0	0.0	0.0
AC-119-Baseline			38.0	37.0	0.0	0.0
AC-119-Progression			39.0		0.0	0.0
AC-119-Progression2			39.0	37.0	0.0	0.0
AC-123-Baseline			29.0		0.0	0.0
AC-157-Baseline			34.0		0.0	0.0
AC-161-Progression			31.0		0.0	0.0
CSI-009-Progression			36.0		0.0	0.0
CSI-028-Progression			34.0	33.0	0.0	0.0
CSI-029-Baseline			11.0		0.0	0.0
CSI-029-Progression			11.0		0.0	0.0
CSI-037-Progression			38.0	37.0	0.0	0.0
CSI-038-Baseline			31.0		0.0	0.0
CSI-066-Baseline			29.0		0.0	0.0
CSI-066-Progression			30.0		0.0	0.0
CSI-066-Progression2			29.0	28.0	0.0	0.0
CSI-073-Baseline			35.0	33.0	0.0	0.0
CSI-073-Progression			36.0	35.0	0.0	0.0
CSI-081-Progression			37.0	36.0	0.0	0.0
CSI-081-Progression2			37.0		0.0	0.0
CSI-091-Baseline			28.0		0.0	0.0
CSI-091-Progression			28.0		0.0	0.0
CSI-096-Progression			27.0	26.0	0.0	0.0
CSI-143-Baseline			32.0		0.0	0.0
CSI-158-Progression			29.0		0.0	0.0
CSI-171-Baseline			35.0	34.0	0.0	0.0
CSI-171-Progression			35.0	34.0	0.0	0.0
CSI-185-Baseline			39.0		0.0	0.0
CSI-188-Baseline			26.0		0.0	0.0
CSI-189-Progression			35.0	34.0	0.0	0.0
CSI-189-Progression2			38.0	37.0	0.0	0.0
CSI-191-Progression			39.0	38.0	0.0	0.0
CSI-200-Baseline			37.0		0.0	0.0
FVC-012-Progression			32.0	31.0	0.0	0.0
FVC-019-Baseline			20.0	19.0	0.0	0.0
FVC-019-Progression			20.0		0.0	0.0
FVC-019-Progression2			20.0	19.0	0.0	0.0
FVC-027-Progression			23.0	22.0	0.0	0.0
FVC-027-Progression2			23.0	22.0	0.0	0.0
FVC-036-Baseline			7.0	6.0	0.0	0.0
FVC-036-Progression			7.0	5.0	0.0	0.0
FVC-036-Progression2			7.0		0.0	0.0
FVC-070-Baseline			34.0	33.0	0.0	0.0
FVC-070-Progression			35.0		0.0	0.0
FVC-115-Baseline			45.0	43.0	0.0	0.0
FVC-116-Progression			36.0		0.0	0.0
FVC-118-Progression			32.0		0.0	0.0
FVC-138-Baseline			28.0	27.0	0.0	0.0
FVC-138-Progression			29.0	27.0	0.0	0.0
FVC-139-Progression			31.0		0.0	0.0
FVC-139-Progression2			32.0	31.0	0.0	0.0
FVC-147-Baseline			30.0		0.0	0.0
FVC-147-Progression			35.0		0.0	0.0
FVC-148-Baseline			36.0		0.0	0.0
FVC-148-Progression			37.0	36.0	0.0	0.0
FVC-152-Baseline			38.0		0.0	0.0
FVC-152-Progression			38.0	37.0	0.0	0.0
FVC-152-Progression2			38.0	37.0	0.0	0.0
FVC-173-Baseline			30.0	29.0	0.0	0.0
FVC-173-Progression			33.0	32.0	0.0	0.0
FVC-190-Progression			33.0	32.0	0.0	0.0
VCC-001-Baseline			22.0	21.0	0.0	0.0
VCC-001-Progression			27.0		0.0	0.0
VCC-003-Progression			15.0	14.0	0.0	0.0
VCC-007-Baseline			32.0	31.0	0.0	0.0
VCC-007-Progression			33.0	31.0	0.0	0.0
VCC-007-Progression2			34.0		0.0	0.0
VCC-010-Baseline			29.0		0.0	0.0
VCC-010-Progression			25.0		0.0	0.0
VCC-010-Progression2			29.0	27.0	0.0	0.0
VCC-011-Baseline			27.0		0.0	0.0
VCC-013-Baseline			37.0	36.0	0.0	0.0
VCC-013-Progression			34.0	33.0	0.0	0.0
VCC-013-Progression2			40.0		0.0	0.0
VCC-014-Baseline			29.0	28.0	0.0	0.0
VCC-014-Progression			35.0	33.0	0.0	0.0
VCC-014-Progression2			36.0		0.0	0.0
VCC-025-Baseline			31.0	29.0	0.0	0.0
VCC-031-Progression			28.0		0.0	0.0
VCC-040-Baseline			30.0		0.0	0.0
VCC-041-Baseline			28.0	26.0	0.0	0.0
VCC-041-Progression			28.0		0.0	0.0
VCC-047-Baseline			22.0	20.0	0.0	0.0
VCC-052-Progression			29.0	28.0	0.0	0.0
VCC-052-Progression-UMI			31.0	30.0	0.0	0.0
