	M1RP_ID10_PB2	M1RP_ID10_RP2	M1RP_ID10_RP3	M1RP_ID10_cfDNA_2018Dec03	M1RP_ID11_MLN3	M1RP_ID11_MLN4	M1RP_ID11_RP2	M1RP_ID11_RP5	M1RP_ID12_MLN1	M1RP_ID12_RP2	M1RP_ID13_MLN4	M1RP_ID13_RP2	M1RP_ID13_RP1	M1RP_ID14_MLN3	M1RP_ID14_MLN4	M1RP_ID14_PB3	M1RP_ID14_RP5	M1RP_ID15_PB3	M1RP_ID15_PB5	M1RP_ID15_RP4	M1RP_ID15_RP6	M1RP_ID16_cfDNA_2017Oct24	M1RP_ID16_RP1	M1RP_ID16_RP2	M1RP_ID16_RP7	M1RP_ID17_PB4	M1RP_ID17_RP3	M1RP_ID17_RP4	M1RP_ID17_RP5	M1RP_ID18_PB3	M1RP_ID18_PB5	M1RP_ID18_PB7	M1RP_ID18_PB8	M1RP_ID18_RP2	M1RP_ID19_cfDNA_2017Jan13	M1RP_ID19_MLN2	M1RP_ID19_PB2	M1RP_ID19_RP2	M1RP_ID19_RP3	M1RP_ID19_RP7	M1RP_ID1_MLN4	M1RP_ID1_RP1	M1RP_ID1_RP2	M1RP_ID20_MLN1	M1RP_ID20_PB1	M1RP_ID20_PB3	M1RP_ID21_cfDNA_2018Oct25	M1RP_ID21_MLN1	M1RP_ID21_PB2	M1RP_ID21_RP2	M1RP_ID21_RP3	M1RP_ID22_MLN1	M1RP_ID22_RP10	M1RP_ID22_RP1	M1RP_ID23_MLN1	M1RP_ID23_RP4	M1RP_ID23_RP9	M1RP_ID24_RP6	M1RP_ID25_RP2	M1RP_ID26_MLN1	M1RP_ID26_RP1	M1RP_ID26_RP3	M1RP_ID27_MLN2	M1RP_ID27_RP4	M1RP_ID27_RP5	M1RP_ID28_MLN1	M1RP_ID28_RP2	M1RP_ID28_RP4	M1RP_ID29_MLN3	M1RP_ID29_RP8	M1RP_ID29_RP9	M1RP_ID2_cfDNA_2018Jun07	M1RP_ID2_MLN6	M1RP_ID2_MLN9	M1RP_ID2_RP3	M1RP_ID2_RP6	M1RP_ID30_PB1	M1RP_ID30_RP1	M1RP_ID30_RP3	M1RP_ID30_UCC	M1RP_ID31_MLN9	M1RP_ID31_RP2	M1RP_ID31_RP3	M1RP_ID32_RP4	M1RP_ID33_cfDNA_2021Mar30	M1RP_ID33_MLN5	M1RP_ID33_RP5	M1RP_ID33_RP6	M1RP_ID33_RP9	M1RP_ID34_MLN7	M1RP_ID34_RP3	M1RP_ID34_RP6	M1RP_ID35_RP4	M1RP_ID36_MLN2	M1RP_ID36_RP1	M1RP_ID36_RP3	M1RP_ID37_MLN1	M1RP_ID37_MLN2	M1RP_ID37_RP5	M1RP_ID37_RP6	M1RP_ID38_cfDNA_2020Jan30	M1RP_ID38_RP1	M1RP_ID38_RP7	M1RP_ID39_PB1	M1RP_ID3_MLN5	M1RP_ID3_RP4	M1RP_ID3_RP5	M1RP_ID40_RP4	M1RP_ID41_RP4	M1RP_ID42_MLN3	M1RP_ID42_RP1	M1RP_ID42_RP8	M1RP_ID43_MLN1	M1RP_ID43_RP2	M1RP_ID43_RP8	M1RP_ID4_cfDNA_2017May12	M1RP_ID4_MLN2	M1RP_ID4_MLN4	M1RP_ID4_RP2	M1RP_ID4_RP9	M1RP_ID5_cfDNA_2018Mar30	M1RP_ID5_MLN5	M1RP_ID5_PB2	M1RP_ID5_RP1	M1RP_ID6_MLN1	M1RP_ID6_RP1	M1RP_ID6_RP2	M1RP_ID6_RP5	M1RP_ID7_MLN3	M1RP_ID7_RP1	M1RP_ID7_RP3	M1RP_ID8_MLN1	M1RP_ID8_MLN2	M1RP_ID8_MLN3	M1RP_ID8_MLN4	M1RP_ID8_MLN8	M1RP_ID8_MLN9	M1RP_ID8_RP1	M1RP_ID8_RP2	M1RP_ID8_RP4	M1RP_ID8_RP5	M1RP_ID8_RP7	M1RP_ID8_RP8	M1RP_ID9_MLN2	M1RP_ID9_RP6	M1RP_ID9_RP9
M1RP_ID10_PB2				0.5714285714285714																																																																																																																																														
M1RP_ID10_RP2				0.6																																																																																																																																														
M1RP_ID10_RP3				0.6666666666666666																																																																																																																																														
M1RP_ID10_cfDNA_2018Dec03	0.5714285714285714	0.6	0.6666666666666666																																																																																																																																															
M1RP_ID11_MLN3							0.8421052631578947	0.7894736842105263																																																																																																																																										
M1RP_ID11_MLN4							0.8	0.8																																																																																																																																										
M1RP_ID11_RP2					0.8421052631578947	0.8																																																																																																																																												
M1RP_ID11_RP5					0.7894736842105263	0.8																																																																																																																																												
M1RP_ID12_MLN1																																																																																																																																																		
M1RP_ID12_RP2																																																																																																																																																		
M1RP_ID13_MLN4												0.88	0.64																																																																																																																																					
M1RP_ID13_RP2											0.88																																																																																																																																							
M1RP_ID13_RP1											0.64																																																																																																																																							
M1RP_ID14_MLN3																0.5365853658536586	0.9047619047619048																																																																																																																																	
M1RP_ID14_MLN4																0.6666666666666666	0.9090909090909091																																																																																																																																	
M1RP_ID14_PB3														0.5365853658536586	0.6666666666666666																																																																																																																																			
M1RP_ID14_RP5														0.9047619047619048	0.9090909090909091																																																																																																																																			
M1RP_ID15_PB3																																																																																																																																																		
M1RP_ID15_PB5																																																																																																																																																		
M1RP_ID15_RP4																																																																																																																																																		
M1RP_ID15_RP6																																																																																																																																																		
M1RP_ID16_cfDNA_2017Oct24																							0.41935483870967744	0.5606060606060606	0.5																																																																																																																									
M1RP_ID16_RP1																						0.41935483870967744																																																																																																																												
M1RP_ID16_RP2																						0.5606060606060606																																																																																																																												
M1RP_ID16_RP7																						0.5																																																																																																																												
M1RP_ID17_PB4																																																																																																																																																		
M1RP_ID17_RP3																																																																																																																																																		
M1RP_ID17_RP4																																																																																																																																																		
M1RP_ID17_RP5																																																																																																																																																		
M1RP_ID18_PB3																																																																																																																																																		
M1RP_ID18_PB5																																																																																																																																																		
M1RP_ID18_PB7																																																																																																																																																		
M1RP_ID18_PB8																																																																																																																																																		
M1RP_ID18_RP2																																																																																																																																																		
M1RP_ID19_cfDNA_2017Jan13																																					0.003629764065335753	0.00390625	0.007352941176470588	0.011904761904761904																																																																																																										
M1RP_ID19_MLN2																																					0.6271186440677966	0.711864406779661	0.6271186440677966	0.0																																																																																																										
M1RP_ID19_PB2																																			0.003629764065335753	0.6271186440677966																																																																																																														
M1RP_ID19_RP2																																			0.00390625	0.711864406779661																																																																																																														
M1RP_ID19_RP3																																			0.007352941176470588	0.6271186440677966																																																																																																														
M1RP_ID19_RP7																																			0.011904761904761904	0.0																																																																																																														
M1RP_ID1_MLN4																																										0.8205128205128205	0.8717948717948718																																																																																																							
M1RP_ID1_RP1																																									0.8205128205128205																																																																																																									
M1RP_ID1_RP2																																									0.8717948717948718																																																																																																									
M1RP_ID20_MLN1																																													1.0	0.9198113207547169																																																																																																				
M1RP_ID20_PB1																																												1.0																																																																																																						
M1RP_ID20_PB3																																												0.9198113207547169																																																																																																						
M1RP_ID21_cfDNA_2018Oct25																																																	0.3076923076923077	0.31868131868131866	0.3146067415730337																																																																																															
M1RP_ID21_MLN1																																																	0.47619047619047616	0.42857142857142855	0.42857142857142855																																																																																															
M1RP_ID21_PB2																																															0.3076923076923077	0.47619047619047616																																																																																																		
M1RP_ID21_RP2																																															0.31868131868131866	0.42857142857142855																																																																																																		
M1RP_ID21_RP3																																															0.3146067415730337	0.42857142857142855																																																																																																		
M1RP_ID22_MLN1																																																					0.6153846153846154	0.575																																																																																												
M1RP_ID22_RP10																																																				0.6153846153846154																																																																																														
M1RP_ID22_RP1																																																				0.575																																																																																														
M1RP_ID23_MLN1																																																								0.8076923076923077	0.46153846153846156																																																																																									
M1RP_ID23_RP4																																																							0.8076923076923077																																																																																											
M1RP_ID23_RP9																																																							0.46153846153846156																																																																																											
M1RP_ID24_RP6																																																																																																																																																		
M1RP_ID25_RP2																																																																																																																																																		
M1RP_ID26_MLN1																																																													1.0	1.0																																																																																				
M1RP_ID26_RP1																																																												1.0																																																																																						
