	M1RP_ID10_PB2	M1RP_ID10_RP2	M1RP_ID10_RP3	M1RP_ID10_cfDNA_2018Dec03	M1RP_ID11_MLN3	M1RP_ID11_MLN4	M1RP_ID11_RP2	M1RP_ID11_RP5	M1RP_ID12_MLN1	M1RP_ID12_RP2	M1RP_ID13_MLN4	M1RP_ID13_RP2	M1RP_ID13_RP1	M1RP_ID14_MLN3	M1RP_ID14_MLN4	M1RP_ID14_PB3	M1RP_ID14_RP5	M1RP_ID15_PB3	M1RP_ID15_PB5	M1RP_ID15_RP4	M1RP_ID15_RP6	M1RP_ID16_cfDNA_2017Oct24	M1RP_ID16_RP1	M1RP_ID16_RP2	M1RP_ID16_RP7	M1RP_ID17_PB4	M1RP_ID17_RP3	M1RP_ID17_RP4	M1RP_ID17_RP5	M1RP_ID18_PB3	M1RP_ID18_PB5	M1RP_ID18_PB7	M1RP_ID18_PB8	M1RP_ID18_RP2	M1RP_ID19_cfDNA_2017Jan13	M1RP_ID19_MLN2	M1RP_ID19_PB2	M1RP_ID19_RP2	M1RP_ID19_RP3	M1RP_ID19_RP7	M1RP_ID1_MLN4	M1RP_ID1_RP1	M1RP_ID1_RP2	M1RP_ID20_MLN1	M1RP_ID20_PB1	M1RP_ID20_PB3	M1RP_ID21_cfDNA_2018Oct25	M1RP_ID21_MLN1	M1RP_ID21_PB2	M1RP_ID21_RP2	M1RP_ID21_RP3	M1RP_ID22_MLN1	M1RP_ID22_RP10	M1RP_ID22_RP1	M1RP_ID23_MLN1	M1RP_ID23_RP4	M1RP_ID23_RP9	M1RP_ID24_RP6	M1RP_ID25_RP2	M1RP_ID26_MLN1	M1RP_ID26_RP1	M1RP_ID26_RP3	M1RP_ID27_MLN2	M1RP_ID27_RP4	M1RP_ID27_RP5	M1RP_ID28_MLN1	M1RP_ID28_RP2	M1RP_ID28_RP4	M1RP_ID29_MLN3	M1RP_ID29_RP8	M1RP_ID29_RP9	M1RP_ID2_cfDNA_2018Jun07	M1RP_ID2_MLN6	M1RP_ID2_MLN9	M1RP_ID2_RP3	M1RP_ID2_RP6	M1RP_ID30_PB1	M1RP_ID30_RP1	M1RP_ID30_RP3	M1RP_ID30_UCC	M1RP_ID31_MLN9	M1RP_ID31_RP2	M1RP_ID31_RP3	M1RP_ID32_RP4	M1RP_ID33_cfDNA_2021Mar30	M1RP_ID33_MLN5	M1RP_ID33_RP5	M1RP_ID33_RP6	M1RP_ID33_RP9	M1RP_ID34_MLN7	M1RP_ID34_RP3	M1RP_ID34_RP6	M1RP_ID35_RP4	M1RP_ID36_MLN2	M1RP_ID36_RP1	M1RP_ID36_RP3	M1RP_ID37_MLN1	M1RP_ID37_MLN2	M1RP_ID37_RP5	M1RP_ID37_RP6	M1RP_ID38_cfDNA_2020Jan30	M1RP_ID38_RP1	M1RP_ID38_RP7	M1RP_ID39_PB1	M1RP_ID3_MLN5	M1RP_ID3_RP4	M1RP_ID3_RP5	M1RP_ID40_RP4	M1RP_ID41_RP4	M1RP_ID42_MLN3	M1RP_ID42_RP1	M1RP_ID42_RP8	M1RP_ID43_MLN1	M1RP_ID43_RP2	M1RP_ID43_RP8	M1RP_ID4_cfDNA_2017May12	M1RP_ID4_MLN2	M1RP_ID4_MLN4	M1RP_ID4_RP2	M1RP_ID4_RP9	M1RP_ID5_cfDNA_2018Mar30	M1RP_ID5_MLN5	M1RP_ID5_PB2	M1RP_ID5_RP1	M1RP_ID6_MLN1	M1RP_ID6_RP1	M1RP_ID6_RP2	M1RP_ID6_RP5	M1RP_ID7_MLN3	M1RP_ID7_RP1	M1RP_ID7_RP3	M1RP_ID8_MLN1	M1RP_ID8_MLN2	M1RP_ID8_MLN3	M1RP_ID8_MLN4	M1RP_ID8_MLN8	M1RP_ID8_MLN9	M1RP_ID8_RP1	M1RP_ID8_RP2	M1RP_ID8_RP4	M1RP_ID8_RP5	M1RP_ID8_RP7	M1RP_ID8_RP8	M1RP_ID9_MLN2	M1RP_ID9_RP6	M1RP_ID9_RP9
M1RP_ID10_PB2				36/63																																																																																																																																														
M1RP_ID10_RP2				36/60																																																																																																																																														
M1RP_ID10_RP3				44/66																																																																																																																																														
M1RP_ID10_cfDNA_2018Dec03	36/63	36/60	44/66																																																																																																																																															
M1RP_ID11_MLN3							16/19	15/19																																																																																																																																										
M1RP_ID11_MLN4							4/5	4/5																																																																																																																																										
M1RP_ID11_RP2					16/19	4/5																																																																																																																																												
M1RP_ID11_RP5					15/19	4/5																																																																																																																																												
M1RP_ID12_MLN1																																																																																																																																																		
M1RP_ID12_RP2																																																																																																																																																		
M1RP_ID13_MLN4												22/25	16/25																																																																																																																																					
M1RP_ID13_RP2											22/25																																																																																																																																							
M1RP_ID13_RP1											16/25																																																																																																																																							
M1RP_ID14_MLN3																22/41	38/42																																																																																																																																	
M1RP_ID14_MLN4																14/21	20/22																																																																																																																																	
M1RP_ID14_PB3														22/41	14/21																																																																																																																																			
M1RP_ID14_RP5														38/42	20/22																																																																																																																																			
M1RP_ID15_PB3																																																																																																																																																		
M1RP_ID15_PB5																																																																																																																																																		
M1RP_ID15_RP4																																																																																																																																																		
M1RP_ID15_RP6																																																																																																																																																		
M1RP_ID16_cfDNA_2017Oct24																							26/62	37/66	31/62																																																																																																																									
M1RP_ID16_RP1																						26/62																																																																																																																												
M1RP_ID16_RP2																						37/66																																																																																																																												
M1RP_ID16_RP7																						31/62																																																																																																																												
M1RP_ID17_PB4																																																																																																																																																		
M1RP_ID17_RP3																																																																																																																																																		
M1RP_ID17_RP4																																																																																																																																																		
M1RP_ID17_RP5																																																																																																																																																		
M1RP_ID18_PB3																																																																																																																																																		
M1RP_ID18_PB5																																																																																																																																																		
M1RP_ID18_PB7																																																																																																																																																		
M1RP_ID18_PB8																																																																																																																																																		
M1RP_ID18_RP2																																																																																																																																																		
M1RP_ID19_cfDNA_2017Jan13																																					2/551	2/512	4/544	3/252																																																																																																										
M1RP_ID19_MLN2																																					37/59	42/59	37/59	0/40																																																																																																										
M1RP_ID19_PB2																																			2/551	37/59																																																																																																														
M1RP_ID19_RP2																																			2/512	42/59																																																																																																														
M1RP_ID19_RP3																																			4/544	37/59																																																																																																														
M1RP_ID19_RP7																																			3/252	0/40																																																																																																														
M1RP_ID1_MLN4																																										32/39	34/39																																																																																																							
M1RP_ID1_RP1																																									32/39																																																																																																									
M1RP_ID1_RP2																																									34/39																																																																																																									
M1RP_ID20_MLN1																																													202/202	195/212																																																																																																				
M1RP_ID20_PB1																																												202/202																																																																																																						
M1RP_ID20_PB3																																												195/212																																																																																																						
M1RP_ID21_cfDNA_2018Oct25																																																	28/91	29/91	28/89																																																																																															
M1RP_ID21_MLN1																																																	10/21	9/21	9/21																																																																																															
M1RP_ID21_PB2																																															28/91	10/21																																																																																																		
M1RP_ID21_RP2																																															29/91	9/21																																																																																																		
M1RP_ID21_RP3																																															28/89	9/21																																																																																																		
M1RP_ID22_MLN1																																																					24/39	23/40																																																																																												
M1RP_ID22_RP10																																																				24/39																																																																																														
M1RP_ID22_RP1																																																				23/40																																																																																														
M1RP_ID23_MLN1																																																								21/26	12/26																																																																																									
M1RP_ID23_RP4																																																							21/26																																																																																											
M1RP_ID23_RP9																																																							12/26																																																																																											
M1RP_ID24_RP6																																																																																																																																																		
M1RP_ID25_RP2																																																																																																																																																		
M1RP_ID26_MLN1																																																													1/1	1/1																																																																																				
M1RP_ID26_RP1																																																												1/1																																																																																						
M1RP_ID26_RP3																																																												1/1																																																																																						
M1RP_ID27_MLN2																																																																5/5	5/5																																																																																	
M1RP_ID27_RP4																																																															5/5																																																																																			
M1RP_ID27_RP5																																																															5/5																																																																																			
M1RP_ID28_MLN1																																																																			23/38	19/37																																																																														
M1RP_ID28_RP2																																																																		23/38																																																																																
M1RP_ID28_RP4																																																																		19/37																																																																																
M1RP_ID29_MLN3																																																																						0/4	1/4																																																																											
M1RP_ID29_RP8																																																																					0/4																																																																													
M1RP_ID29_RP9																																																																					1/4																																																																													
M1RP_ID2_cfDNA_2018Jun07																																																																											27/73	18/75																																																																						
M1RP_ID2_MLN6																																																																											16/37	8/39																																																																						
M1RP_ID2_MLN9																																																																											24/41	13/42																																																																						
M1RP_ID2_RP3																																																																								27/73	16/37	24/41																																																																								
M1RP_ID2_RP6																																																																								18/75	8/39	13/42																																																																								
M1RP_ID30_PB1																																																																																																																																																		
M1RP_ID30_RP1																																																																																																																																																		
M1RP_ID30_RP3																																																																																																																																																		
M1RP_ID30_UCC																																																																																																																																																		
M1RP_ID31_MLN9																																																																																		5/12	7/12																																																															
M1RP_ID31_RP2																																																																																	5/12																																																																	
M1RP_ID31_RP3																																																																																	7/12																																																																	
M1RP_ID32_RP4																																																																																																																																																		
M1RP_ID33_cfDNA_2021Mar30																																																																																							101/178	130/178	79/178																																																									
M1RP_ID33_MLN5																																																																																							108/155	127/155	84/154																																																									
M1RP_ID33_RP5																																																																																					101/178	108/155																																																												
M1RP_ID33_RP6																																																																																					130/178	127/155																																																												
M1RP_ID33_RP9																																																																																					79/178	84/154																																																												
M1RP_ID34_MLN7																																																																																											21/24	21/24																																																						
M1RP_ID34_RP3																																																																																										21/24																																																								
M1RP_ID34_RP6																																																																																										21/24																																																								
M1RP_ID35_RP4																																																																																																																																																		
M1RP_ID36_MLN2																																																																																															2/4	1/3																																																		
M1RP_ID36_RP1																																																																																														2/4																																																				
M1RP_ID36_RP3																																																																																														1/3																																																				
M1RP_ID37_MLN1																																																																																																			14/23	16/26																																														
M1RP_ID37_MLN2																																																																																																			8/10	9/11																																														
M1RP_ID37_RP5																																																																																																	14/23	8/10																																																
M1RP_ID37_RP6																																																																																																	16/26	9/11																																																
M1RP_ID38_cfDNA_2020Jan30																																																																																																						57/63	0/43																																											
M1RP_ID38_RP1																																																																																																					57/63																																													
M1RP_ID38_RP7																																																																																																					0/43																																													
M1RP_ID39_PB1																																																																																																																																																		
M1RP_ID3_MLN5																																																																																																										25/27	22/27																																							
M1RP_ID3_RP4																																																																																																									25/27																																									
M1RP_ID3_RP5																																																																																																									22/27																																									
M1RP_ID40_RP4																																																																																																																																																		
M1RP_ID41_RP4																																																																																																																																																		
M1RP_ID42_MLN3																																																																																																															31/49	28/51																																		
M1RP_ID42_RP1																																																																																																														31/49																																				
M1RP_ID42_RP8																																																																																																														28/51																																				
M1RP_ID43_MLN1																																																																																																																		23/54	54/54																															
M1RP_ID43_RP2																																																																																																																	23/54																																	
M1RP_ID43_RP8																																																																																																																	54/54																																	
M1RP_ID4_cfDNA_2017May12																																																																																																																							46/74	59/75																										
M1RP_ID4_MLN2																																																																																																																							37/52	44/52																										
M1RP_ID4_MLN4																																																																																																																							34/63	36/63																										
M1RP_ID4_RP2																																																																																																																				46/74	37/52	34/63																												
M1RP_ID4_RP9																																																																																																																				59/75	44/52	36/63																												
M1RP_ID5_cfDNA_2018Mar30																																																																																																																											86/125	86/126																						
M1RP_ID5_MLN5																																																																																																																											37/71	40/73																						
M1RP_ID5_PB2																																																																																																																									86/125	37/71																								
M1RP_ID5_RP1																																																																																																																									86/126	40/73																								
M1RP_ID6_MLN1																																																																																																																															45/68	39/68																		
M1RP_ID6_RP1																																																																																																																																																		
M1RP_ID6_RP2																																																																																																																													45/68																					
M1RP_ID6_RP5																																																																																																																													39/68																					
M1RP_ID7_MLN3																																																																																																																																		34/50	31/47															
M1RP_ID7_RP1																																																																																																																																	34/50																	
M1RP_ID7_RP3																																																																																																																																	31/47																	
M1RP_ID8_MLN1																																																																																																																																										40/72	25/73	42/73	27/73	65/74	26/73			
M1RP_ID8_MLN2																																																																																																																																										29/491	30/503	42/504	365/503	39/503	51/504			
M1RP_ID8_MLN3																																																																																																																																										28/1197	555/1213	38/1217	58/1218	528/1216	35/1216			
M1RP_ID8_MLN4																																																																																																																																										26/1311	600/1342	39/1350	56/1355	572/1353	36/1348			
M1RP_ID8_MLN8																																																																																																																																										34/66	24/64	33/66	25/66	48/66	25/66			
M1RP_ID8_MLN9																																																																																																																																										26/1239	562/1259	37/1268	57/1271	529/1269	42/1269			
M1RP_ID8_RP1																																																																																																																																				40/72	29/491	28/1197	26/1311	34/66	26/1239									
M1RP_ID8_RP2																																																																																																																																				25/73	30/503	555/1213	600/1342	24/64	562/1259									
M1RP_ID8_RP4																																																																																																																																				42/73	42/504	38/1217	39/1350	33/66	37/1268									
M1RP_ID8_RP5																																																																																																																																				27/73	365/503	58/1218	56/1355	25/66	57/1271									
