	M1RP_ID10_PB2	M1RP_ID10_RP2	M1RP_ID10_RP3	M1RP_ID10_cfDNA_2018Dec03	M1RP_ID11_MLN3	M1RP_ID11_MLN4	M1RP_ID11_RP2	M1RP_ID11_RP5	M1RP_ID12_MLN1	M1RP_ID12_RP2	M1RP_ID13_MLN4	M1RP_ID13_RP2	M1RP_ID13_RP1	M1RP_ID14_MLN3	M1RP_ID14_MLN4	M1RP_ID14_PB3	M1RP_ID14_RP5	M1RP_ID15_PB3	M1RP_ID15_PB5	M1RP_ID15_RP4	M1RP_ID15_RP6	M1RP_ID16_cfDNA_2017Oct24	M1RP_ID16_RP1	M1RP_ID16_RP2	M1RP_ID16_RP7	M1RP_ID17_PB4	M1RP_ID17_RP3	M1RP_ID17_RP4	M1RP_ID17_RP5	M1RP_ID18_PB3	M1RP_ID18_PB5	M1RP_ID18_PB7	M1RP_ID18_PB8	M1RP_ID18_RP2	M1RP_ID19_cfDNA_2017Jan13	M1RP_ID19_MLN2	M1RP_ID19_PB2	M1RP_ID19_RP2	M1RP_ID19_RP3	M1RP_ID19_RP7	M1RP_ID1_MLN4	M1RP_ID1_RP1	M1RP_ID1_RP2	M1RP_ID20_MLN1	M1RP_ID20_PB1	M1RP_ID20_PB3	M1RP_ID21_cfDNA_2018Oct25	M1RP_ID21_MLN1	M1RP_ID21_PB2	M1RP_ID21_RP2	M1RP_ID21_RP3	M1RP_ID22_MLN1	M1RP_ID22_RP10	M1RP_ID22_RP1	M1RP_ID23_MLN1	M1RP_ID23_RP4	M1RP_ID23_RP9	M1RP_ID24_RP6	M1RP_ID25_RP2	M1RP_ID26_MLN1	M1RP_ID26_RP1	M1RP_ID26_RP3	M1RP_ID27_MLN2	M1RP_ID27_RP4	M1RP_ID27_RP5	M1RP_ID28_MLN1	M1RP_ID28_RP2	M1RP_ID28_RP4	M1RP_ID29_MLN3	M1RP_ID29_RP8	M1RP_ID29_RP9	M1RP_ID2_cfDNA_2018Jun07	M1RP_ID2_MLN6	M1RP_ID2_MLN9	M1RP_ID2_RP3	M1RP_ID2_RP6	M1RP_ID30_PB1	M1RP_ID30_RP1	M1RP_ID30_RP3	M1RP_ID30_UCC	M1RP_ID31_MLN9	M1RP_ID31_RP2	M1RP_ID31_RP3	M1RP_ID32_RP4	M1RP_ID33_cfDNA_2021Mar30	M1RP_ID33_MLN5	M1RP_ID33_RP5	M1RP_ID33_RP6	M1RP_ID33_RP9	M1RP_ID34_MLN7	M1RP_ID34_RP3	M1RP_ID34_RP6	M1RP_ID35_RP4	M1RP_ID36_MLN2	M1RP_ID36_RP1	M1RP_ID36_RP3	M1RP_ID37_MLN1	M1RP_ID37_MLN2	M1RP_ID37_RP5	M1RP_ID37_RP6	M1RP_ID38_cfDNA_2020Jan30	M1RP_ID38_RP1	M1RP_ID38_RP7	M1RP_ID39_PB1	M1RP_ID3_MLN5	M1RP_ID3_RP4	M1RP_ID3_RP5	M1RP_ID40_RP4	M1RP_ID41_RP4	M1RP_ID42_MLN3	M1RP_ID42_RP1	M1RP_ID42_RP8	M1RP_ID43_MLN1	M1RP_ID43_RP2	M1RP_ID43_RP8	M1RP_ID4_cfDNA_2017May12	M1RP_ID4_MLN2	M1RP_ID4_MLN4	M1RP_ID4_RP2	M1RP_ID4_RP9	M1RP_ID5_cfDNA_2018Mar30	M1RP_ID5_MLN5	M1RP_ID5_PB2	M1RP_ID5_RP1	M1RP_ID6_MLN1	M1RP_ID6_RP1	M1RP_ID6_RP2	M1RP_ID6_RP5	M1RP_ID7_MLN3	M1RP_ID7_RP1	M1RP_ID7_RP3	M1RP_ID8_MLN1	M1RP_ID8_MLN2	M1RP_ID8_MLN3	M1RP_ID8_MLN4	M1RP_ID8_MLN8	M1RP_ID8_MLN9	M1RP_ID8_RP1	M1RP_ID8_RP2	M1RP_ID8_RP4	M1RP_ID8_RP5	M1RP_ID8_RP7	M1RP_ID8_RP8	M1RP_ID9_MLN2	M1RP_ID9_RP6	M1RP_ID9_RP9
M1RP_ID10_PB2				0.8297872340425532																																																																																																																																														
M1RP_ID10_RP2				0.8095238095238095																																																																																																																																														
M1RP_ID10_RP3				0.9803921568627451																																																																																																																																														
M1RP_ID10_cfDNA_2018Dec03	0.8297872340425532	0.8095238095238095	0.9803921568627451																																																																																																																																															
M1RP_ID11_MLN3							0.7931034482758621	1.0																																																																																																																																										
M1RP_ID11_MLN4							0.6153846153846154	0.5882352941176471																																																																																																																																										
M1RP_ID11_RP2					0.7931034482758621	0.6153846153846154																																																																																																																																												
M1RP_ID11_RP5					1.0	0.5882352941176471																																																																																																																																												
M1RP_ID12_MLN1										1.0																																																																																																																																								
M1RP_ID12_RP2									1.0																																																																																																																																									
M1RP_ID13_MLN4												0.8823529411764706	0.8064516129032258																																																																																																																																					
M1RP_ID13_RP2											0.8823529411764706																																																																																																																																							
M1RP_ID13_RP1											0.8064516129032258																																																																																																																																							
M1RP_ID14_MLN3																0.7222222222222222	0.7872340425531915																																																																																																																																	
M1RP_ID14_MLN4																0.7222222222222222	0.7045454545454546																																																																																																																																	
M1RP_ID14_PB3														0.7222222222222222	0.7222222222222222																																																																																																																																			
M1RP_ID14_RP5														0.7872340425531915	0.7045454545454546																																																																																																																																			
M1RP_ID15_PB3																																																																																																																																																		
M1RP_ID15_PB5																																																																																																																																																		
M1RP_ID15_RP4																																																																																																																																																		
M1RP_ID15_RP6																																																																																																																																																		
M1RP_ID16_cfDNA_2017Oct24																							0.5333333333333333	0.7169811320754716	0.43478260869565216																																																																																																																									
M1RP_ID16_RP1																						0.5333333333333333																																																																																																																												
M1RP_ID16_RP2																						0.7169811320754716																																																																																																																												
M1RP_ID16_RP7																						0.43478260869565216																																																																																																																												
M1RP_ID17_PB4																																																																																																																																																		
M1RP_ID17_RP3																																																																																																																																																		
M1RP_ID17_RP4																																																																																																																																																		
M1RP_ID17_RP5																																																																																																																																																		
M1RP_ID18_PB3																																																																																																																																																		
M1RP_ID18_PB5																																																																																																																																																		
M1RP_ID18_PB7																																																																																																																																																		
M1RP_ID18_PB8																																																																																																																																																		
M1RP_ID18_RP2																																																																																																																																																		
M1RP_ID19_cfDNA_2017Jan13																																					0.09259259259259259	0.11538461538461539	0.10344827586206896	0.0																																																																																																										
M1RP_ID19_MLN2																																					0.5673076923076923	0.8823529411764706	0.5789473684210527	0.0																																																																																																										
M1RP_ID19_PB2																																			0.09259259259259259	0.5673076923076923																																																																																																														
M1RP_ID19_RP2																																			0.11538461538461539	0.8823529411764706																																																																																																														
M1RP_ID19_RP3																																			0.10344827586206896	0.5789473684210527																																																																																																														
M1RP_ID19_RP7																																			0.0	0.0																																																																																																														
M1RP_ID1_MLN4																																										0.75	0.6808510638297872																																																																																																							
M1RP_ID1_RP1																																									0.75																																																																																																									
M1RP_ID1_RP2																																									0.6808510638297872																																																																																																									
M1RP_ID20_MLN1																																													1.0	0.9416058394160584																																																																																																				
M1RP_ID20_PB1																																												1.0																																																																																																						
M1RP_ID20_PB3																																												0.9416058394160584																																																																																																						
M1RP_ID21_cfDNA_2018Oct25																																																	0.345679012345679	0.5555555555555556	0.41304347826086957																																																																																															
M1RP_ID21_MLN1																																																	0.3142857142857143	0.5	0.4																																																																																															
M1RP_ID21_PB2																																															0.345679012345679	0.3142857142857143																																																																																																		
M1RP_ID21_RP2																																															0.5555555555555556	0.5																																																																																																		
M1RP_ID21_RP3																																															0.41304347826086957	0.4																																																																																																		
M1RP_ID22_MLN1																																																					0.85	0.4262295081967213																																																																																												
M1RP_ID22_RP10																																																				0.85																																																																																														
M1RP_ID22_RP1																																																				0.4262295081967213																																																																																														
M1RP_ID23_MLN1																																																								0.390625	0.3333333333333333																																																																																									
M1RP_ID23_RP4																																																							0.390625																																																																																											
M1RP_ID23_RP9																																																							0.3333333333333333																																																																																											
M1RP_ID24_RP6																																																																																																																																																		
M1RP_ID25_RP2																																																																																																																																																		
M1RP_ID26_MLN1																																																													0.5555555555555556	0.7142857142857143																																																																																				
M1RP_ID26_RP1																																																												0.5555555555555556																																																																																						
M1RP_ID26_RP3																																																												0.7142857142857143																																																																																						
M1RP_ID27_MLN2																																																																1.0	1.0																																																																																	
M1RP_ID27_RP4																																																															1.0																																																																																			
M1RP_ID27_RP5																																																															1.0																																																																																			
M1RP_ID28_MLN1																																																																			0.6829268292682927	0.30158730158730157																																																																														
M1RP_ID28_RP2																																																																		0.6829268292682927																																																																																
M1RP_ID28_RP4																																																																		0.30158730158730157																																																																																
M1RP_ID29_MLN3																																																																						0.2222222222222222	0.1																																																																											
M1RP_ID29_RP8																																																																					0.2222222222222222																																																																													
M1RP_ID29_RP9																																																																					0.1																																																																													
M1RP_ID2_cfDNA_2018Jun07																																																																											0.48936170212765956	0.4375																																																																						
M1RP_ID2_MLN6																																																																											0.5531914893617021	0.46875																																																																						
M1RP_ID2_MLN9																																																																											0.48936170212765956	0.40625																																																																						
M1RP_ID2_RP3																																																																								0.48936170212765956	0.5531914893617021	0.48936170212765956																																																																								
M1RP_ID2_RP6																																																																								0.4375	0.46875	0.40625																																																																								
M1RP_ID30_PB1																																																																																																																																																		
M1RP_ID30_RP1																																																																																																																																																		
M1RP_ID30_RP3																																																																																																																																																		
M1RP_ID30_UCC																																																																																																																																																		
M1RP_ID31_MLN9																																																																																		0.6666666666666666	0.5625																																																															
M1RP_ID31_RP2																																																																																	0.6666666666666666																																																																	
M1RP_ID31_RP3																																																																																	0.5625																																																																	
M1RP_ID32_RP4																																																																																																																																																		
M1RP_ID33_cfDNA_2021Mar30																																																																																							0.8064516129032258	0.9154929577464789	0.45652173913043476																																																									
M1RP_ID33_MLN5																																																																																							0.8709677419354839	0.9366197183098591	0.4782608695652174																																																									
M1RP_ID33_RP5																																																																																					0.8064516129032258	0.8709677419354839																																																												
M1RP_ID33_RP6																																																																																					0.9154929577464789	0.9366197183098591																																																												
M1RP_ID33_RP9																																																																																					0.45652173913043476	0.4782608695652174																																																												
M1RP_ID34_MLN7																																																																																											0.72	0.5																																																						
M1RP_ID34_RP3																																																																																										0.72																																																								
M1RP_ID34_RP6																																																																																										0.5																																																								
M1RP_ID35_RP4																																																																																																																																																		
M1RP_ID36_MLN2																																																																																															0.6	1.0																																																		
M1RP_ID36_RP1																																																																																														0.6																																																				
M1RP_ID36_RP3																																																																																														1.0																																																				
M1RP_ID37_MLN1																																																																																																			0.6470588235294118	0.6428571428571429																																														
M1RP_ID37_MLN2																																																																																																			0.6470588235294118	0.6428571428571429																																														
M1RP_ID37_RP5																																																																																																	0.6470588235294118	0.6470588235294118																																																
M1RP_ID37_RP6																																																																																																	0.6428571428571429	0.6428571428571429																																																
M1RP_ID38_cfDNA_2020Jan30																																																																																																						0.8979591836734694	0.15																																											
M1RP_ID38_RP1																																																																																																					0.8979591836734694																																													
M1RP_ID38_RP7																																																																																																					0.15																																													
M1RP_ID39_PB1																																																																																																																																																		
M1RP_ID3_MLN5																																																																																																										0.8	0.9615384615384616																																							
M1RP_ID3_RP4																																																																																																									0.8																																									
M1RP_ID3_RP5																																																																																																									0.9615384615384616																																									
M1RP_ID40_RP4																																																																																																																																																		
M1RP_ID41_RP4																																																																																																																																																		
M1RP_ID42_MLN3																																																																																																															1.0	0.6428571428571429																																		
M1RP_ID42_RP1																																																																																																														1.0																																				
M1RP_ID42_RP8																																																																																																														0.6428571428571429																																				
M1RP_ID43_MLN1																																																																																																																		0.6470588235294118	0.9393939393939394																															
M1RP_ID43_RP2																																																																																																																	0.6470588235294118																																	
M1RP_ID43_RP8																																																																																																																	0.9393939393939394																																	
M1RP_ID4_cfDNA_2017May12																																																																																																																							0.6904761904761905	0.746031746031746																										
M1RP_ID4_MLN2																																																																																																																							0.7142857142857143	0.746031746031746																										
M1RP_ID4_MLN4																																																																																																																							0.7142857142857143	0.5873015873015873																										
M1RP_ID4_RP2																																																																																																																				0.6904761904761905	0.7142857142857143	0.7142857142857143																												
M1RP_ID4_RP9																																																																																																																				0.746031746031746	0.746031746031746	0.5873015873015873																												
